Section,Type,Name,Tier,PriceCr,Perk,Description,Use,Attunement,Where To Find
Catalyst,,Resonance Lattice Ring,T4,95000,+1 SP the first time you spend SP each encounter,Miniature lattice crystal stores a pulse.,Passive trigger.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Heralds Medallion,T4,30000,Advantage on diplomatic checks once per scene,Cyan enamel crest opens doors.,Bonus action to invoke.,"Optional, 10 minutes and 3 SP.",Civic vendors.
Catalyst,,Ember-Cold Mantle,T4,85000,Resist fire and cold,Bicolor mantle quenches extremes.,Passive.,"Required, 30 minutes and 3 SP.",Greyline brokers.
Catalyst,,Quick-Weave Gloves,T4,45000,+1 Tools checks per scene; craft at 2 speed,Micro-servos steady fine motions.,Passive.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Oath-Bound Sigil,T4,30000,Reroll a failed save vs charm/compulsion once per scene,Inlaid sigil binds your will.,Reaction.,"Optional, 10 minutes and 3 SP.","Temple fronts, PFV."
Catalyst,,Skystep Harness,T4,100000,Jump distance 3; ignore first 30 ft. of falling,Vane-pack catches air like stairs.,Passive.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Trueshot Armband,T4,75000,+1 to hit once per round with a ranged attack,Tension regulator smooths draw.,Passive.,"Required, 30 minutes and 3 SP.",Vendors.
Catalyst,,Wardens Censer,T4,55000,"Create 10 ft. sanctified zone: allies +1 to saves for 1 minute, 1/session",Hanging censer spills protective tone.,Action to place.,"Optional, 10 minutes and 3 SP.",Relic dealers.
Catalyst,,Flux-Tuned Satchel,T4,65000,Extradimensional storage 200 lb.; weightless,Pocket-fold storage woven into lining.,Passive.,"Required, 30 minutes and 3 SP.",Greyline brokers.
Catalyst,,Tacticians Die,T4,95000,"Add +1d6 to an ally's roll after seeing it, 1/scene, 30 ft.",Clicking die forecasts the near-now.,Reaction.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,"Echo-Blade, Minor",T3,150000,1d8; after-image causes next attack vs you ˆ’1 to hit,Phase-trailing sword confuses aim.,Standard attacks; perk is passive.,"Required, 30 minutes and 3 SP.","O.M.N.I., Greyline."
Catalyst,,"Chrono-Anchor Locket, Improved",T3,220000,"Reset position and TC to start of turn, 1/day",Tuned locket pins your moment in time.,Free when invoked.,"Required, 30 minutes and 3 SP.",Greyline brokers.
Catalyst,,Storm-Cage Buckler,T3,260000,"+2 TC, reflect 1 lightning on a miss",Coil buckler cages hostile charge.,Passive.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Phoenix Filament,T3,300000,"If reduced to 0 HP, stand at 1 HP once per session",Thin chest filament reignites your spark.,Passive.,"Required, 30 minutes and 3 SP.",Reliquary dealers.
Catalyst,,Mind-Ward Circlet,T3,180000,Resist psychic; advantage vs charm,Etched circlet dampens invasive hum.,Passive.,"Required, 30 minutes and 3 SP.",Conclave-friendly shops.
Catalyst,,Ember-Fang Rifle,T3,350000,1d10; on 20 add Burn,Coil rifle seats an ember chamber.,Attacks; perk on crit.,"Required, 30 minutes and 3 SP.",Greyline master vendors.
Catalyst,,Shard-Warden Armor,T3,320000,+3 TC; gain 1 SP when hit by an AoE once/scene,Layered mesh funnels blast into charge.,Passive.,"Required, 30 minutes and 3 SP.",O.M.N.I. vault issue.
Catalyst,,Gale-Crest Cape,T3,140000,Disengage as a bonus action once per round,Pressure-shifting cape parts pursuers.,Bonus action; 1/round.,"Required, 30 minutes and 3 SP.",Greyline brokers.
Catalyst,,Rift-Key Trinket,T3,240000,Pass through a thin wall once per scene (5 ft.),Shard key vibrates you across a seam.,Action to step through.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Star-Lore Codex,T3,170000,Auto identify unknown tech or magic once/day,Fold-out compendium consults the lattice.,Action; 1 minute reading.,"Required, 30 minutes and 3 SP.",Conclave scriptoriums.
Catalyst,,Pulse-Drive Boots,T3,270000,"+10 ft. speed and ignore difficult terrain for 1 minute, 1/scene",Heel actuators pulse the ground underfoot.,Bonus action to start.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Gravity Well Grenade x1,T3,150000,Pull 15 ft.; STR save or prone,Singularity marble bottled to throw.,Action to throw within 30 ft.,None.,Greyline.
Catalyst,,Mirror-Mind Shard,T3,125000,"Reflect a failed attack back at attacker for half damage, 1/scene",Mind-mirror flips force back along intent.,Reaction on miss.,"Required, 30 minutes and 3 SP.",Brokers.
Catalyst,,Ember-Ward Aegis,T3,300000,"Allies in 10 ft. gain +1 TC for 1 round, 1/scene",Back-mounted projector spills a guard-hum.,Bonus action.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Lantern of True Sight,T3,375000,"See invisibility 30 ft. for 1 minute, 1/scene",Prismatic lantern peels false layers.,Action to ignite.,"Required, 30 minutes and 3 SP.",Relic shops.
Catalyst,,Seekers Wrist-Node,T3,200000,Mark a target; allies gain +1 to hit it this scene,Wrist beacon paints a shared lock.,Bonus action to mark.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Wardrum Heartbeat,T3,160000,+2 Initiative and advantage vs fear on round one,Haptic chest module sets a war cadence.,Passive.,"Required, 30 minutes and 3 SP.",PFV elite.
Catalyst,,Frost-Quell Cloak,T3,210000,Resist cold; ignore Freeze,Chilled weave bleeds off frostbite.,Passive.,"Required, 30 minutes and 3 SP.",Greyline.
Catalyst,,Ember-Scribe Gloves,T3,260000,"Place a 5 ft. glyph that detonates for 2d6 fire when a foe enters, 1/scene",Filaments trace volatile runes.,Action to inscribe.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Echo-Spear,T3,275000,1d8; line 15 ft. once per scene,Vibrational spear channels a piercing wave.,Attack or line thrust.,"Required, 30 minutes and 3 SP.",Greyline.
Catalyst,,Crown of the Calm,T2,440000,Immunity to Confused; advantage on WIS saves,Serene lattice circlet quiets mental noise.,Passive.,"Required, 1 hour and 5 SP.",Conclave-aligned dealers.
Catalyst,,Starlance Carbine,T2,900000,2d8 line 30 ft. once per scene; ignores nonliving cover,Starlight channel cored through a carbine.,Attacks; special line shot 1/scene.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Bulwark Halo,T2,760000,+3 TC; first hit each encounter ˆ’5 damage,Deflection crown forms a guard band.,Passive.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Resonant Soul Engine,T2,1000000,"When you spend SP, add +1d4 to the effect up to 3/scene",Chest core harmonizes your output.,Passive on SP spend.,"Required, 1 hour and 5 SP.",Greyline masterworks.
Catalyst,,Gale-Runner Exosuit,T2,800000,"+3 TC, speed +10 ft, immune to knockdown",Light exo translates motion to lift.,Passive.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Eye of the Tide,T2,480000,"Reposition two willing allies within 30 ft by 10 ft, 1/scene",Aqua-lens amulet bends local currents.,Bonus action.,"Required, 1 hour and 5 SP.",Conclave brokers.
Catalyst,,Ember-Crown Mantle,T2,420000,Resist fire and lightning; melee adds +1 fire on crit,Crackling mantle channels storm heat.,Passive.,"Required, 1 hour and 5 SP.",Greyline.
Catalyst,,Mirror-Gate Charm,T2,950000,"Swap positions with an ally in 60 ft, 1/scene",Twin-etched charms handshake through space.,Bonus action by either wearer.,"Required for both, 1 hour and 5 SP.",Greyline brokers.
Catalyst,,Archivists Codex Prime,T2,600000,Learn a secret about a location or NPC once per session,Living book that converses in margins.,10 minutes focused reading.,"Required, 1 hour and 5 SP.",Conclave scriptorium.
Catalyst,,Storm-Warden Dome,T2,820000,"10 ft dome grants +1 TC to allies for 3 rounds, 1/scene",Portable projector establishes a calm eye.,Action to deploy.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Heartforge Brand,T2,700000,"Turn a failed melee attack into half damage on hit, 1/scene",Brand sigil seals intent to strike true.,Reaction after a miss.,"Required, 1 hour and 5 SP.",Greyline master smiths.
Catalyst,,Moon-Tread Greaves,T2,460000,"Move along vertical surfaces for 1 round, 1/scene",Gravitic greaves cancel the weight vector.,Bonus action.,"Required, 1 hour and 5 SP.",Greyline brokers.
Catalyst,,Choir-Shard Focus,T2,520000,"Your next attack or power cannot be countered, 1/scene",Chorus crystal sets an undeniable tone.,Bonus action to declare.,"Required, 1 hour and 5 SP.",Conclave reliquary.
Catalyst,,Wardens Gavel,T2,880000,1d10; on hit WIS save or drop concentration,Heavy hammer that interrupts focus.,Attacks; perk on hit.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Lattice of Second Chances,T2,980000,"Treat any one d20 roll as 20, 1/session",Neck lattice rethreads a moment.,Free on declaration.,"Required, 1 hour and 5 SP.",Conclave vaults.
Catalyst,,"Phoenix Charge, Crown-Grade",T1,1500000,"On 0 HP, stand at 1 HP and gain +2 TC for 1 round, 1/session",Royal filament that refuses the end.,Passive.,"Required, 1 hour and 5 SP.",O.M.N.I. black-book.
Catalyst,,"Echo-Blade, Major",T1,2700000,1d10; after-image imposes ˆ’2 to next attack vs you,Superior phase blade doubles the echo-trail.,Standard attacks; passive penalty field.,"Required, 1 hour and 5 SP.",Greyline masterworks.
Catalyst,,Crown of Perfect Focus,T1,1800000,First Concentration save each scene auto succeeds,Flawless circlet locks your center.,Passive.,"Required, 1 hour and 5 SP.",Conclave vault access.
Catalyst,,"Starwarden Beacon, Major",T1,2500000,Summon Conclave escort extraction 1/session,High-grade beacon broadcasts a covenant.,Action to trigger.,"Required, 1 hour and 5 SP.",Conclave warrant.
Catalyst,,"Time-Slip Marker, Prime",T1,2200000,"Revert the last round for yourself only, 1/session",Chrono seal pins a personal loop.,Free when invoked.,"Required, 1 hour and 5 SP.",O.M.N.I. vault.
Catalyst,,"Mirror-Field Buckler, Royal",T1,1900000,+3 TC; reflect one ranged hit per encounter,Perfected buckler angles a flawless return.,Reaction on hit.,"Required, 1 hour and 5 SP.",Greyline grandmaster.
Catalyst,,Soul-Bond Engine,T1,2800000,Choose an ally at attunement; give +1 to their roll 1/scene without LoS,Paired heartspring bridges intent.,Reaction when they roll.,"Required for both, 1 hour and 5 SP.",Conclave artisans.
Catalyst,,Lawkeepers Seal,T1,1600000,"Declare a 10 ft Sanctuary zone; enemies have disadvantage for 1 round, 1/scene",Magisterial seal imposes a lawful hush.,Action to place.,"Required, 1 hour and 5 SP.",O.M.N.I. black-book.
Catalyst,,Fate-Spindle,T1,1300000,Bank a d6 and spend it later this session,Hand-spindle stores the luck of motion.,Bonus action to bank after success.,"Required, 1 hour and 5 SP.",Reliquary dealers.
Catalyst,,Argent Choir Mantle,T1,2000000,"Allies within 10 ft gain +1 to saves for 2 rounds, 1/scene",Choir mantle projects a silver chorus.,Bonus action.,"Required, 1 hour and 5 SP.",Conclave wardens.
Catalyst,,Rift-Singer Boots,T1,1750000,"Teleport 30 ft as a bonus action once/round for 3 rounds, 1/session",Song-tuned boots step into the seam.,Bonus action during effect.,"Required, 1 hour and 5 SP.",O.M.N.I. vault issue.
Catalyst,,Crown of the Unbroken,T1,3000000,Cannot be stunned; end Stun on self once/scene (free),Adamant crown rejects interruption.,Passive and free once/scene.,"Required, 1 hour and 5 SP.",Conclave vault access.
Catalyst,,Chorus-Shard Keystone,T0,4500000,"Negate one entire AoE in line of sight, 1/session",Keystone crystal flattens a wave to silence.,Reaction on seeing the effect.,"Required, 1 hour and 5 SP. Max 3 active attunements.",Conclave reliquary only.
Catalyst,,"Chronal Favor, Sovereign Script",T0,6000000,"Act twice in one round, then become exhausted",Bound contract compels time to yield.,Free at round start.,"Required, 1 hour and 5 SP.",Conclave oathkeepers.
Catalyst,,"Void-Seal Capsule, Grand",T0,4750000,"Untargetable for 1 round, 1/session",Absolute null field in a capsule.,Bonus action to seal.,"Required, 1 hour and 5 SP.",O.M.N.I. black vault.
Catalyst,,"Destiny Bond Locket, Grand",T0,5500000,"Redirect one lethal hit to an echo so no one dies, 1/arc",Twin-soul locket ties a fate to a shadow.,Reaction when lethal damage occurs.,"Required for bonded pair, 1 hour and 5 SP.",Conclave rite.
Catalyst,,"Perfect Mirror Die, Master",T0,5000000,"Treat any roll as 20, 1/session",Flawless die that calls the perfect cast.,Free on declaration.,"Required, 1 hour and 5 SP.",Greyline grandmaster.
Catalyst,,"Starwarden Beacon, Royal",T0,7500000,Orbital extraction; cleanses 1 condition on extracted allies,Royal beacon summons the wardens above.,Action to trigger.,"Required, 1 hour and 5 SP.",Conclave command.
Catalyst,,"Law of Return, Absolute",T0,9000000,One spent item refreshes instantly and ignores cooldowns,Paradox token pays tomorrows price today.,Free when another item is spent.,"Required, 1 hour and 5 SP.",Conclave paradox cell.
Catalyst,,"Angels IOU, Supreme",T0,10000000,"GM-approved miracle within reason, once",Bound promise from an unseen patron.,"Free, narrative timing.","Required, 1 hour and 5 SP.",Story reward only.
